醫事機構代碼,成人口罩總剩餘數,兒童口罩剩餘數,來源資料時間
0145080011,122,69,2020/02/07 14:00:35
0291010010,204,48,2020/02/07 14:00:35
1231050017,200,50,2020/02/07 14:00:35
2331170017,200,50,2020/02/07 14:00:35
2331200010,2,0,2020/02/07 14:00:35
2331210016,200,50,2020/02/07 14:00:35
2331240014,0,72,2020/02/07 14:00:35
2331260016,8,26,2020/02/07 14:00:35
2333070010,2,0,2020/02/07 14:00:35
2333080016,200,50,2020/02/07 14:00:35
2333120015,0,38,2020/02/07 14:00:35
2333140017,150,50,2020/02/07 14:00:35
2334110013,6,20,2020/02/07 14:00:35
2335110017,10,0,2020/02/07 14:00:35
2335150011,0,2,2020/02/07 14:00:35
2335170013,1,14,2020/02/07 14:00:35
2335180019,40,42,2020/02/07 14:00:35
2336210034,110,36,2020/02/07 14:00:35
2337160015,200,50,2020/02/07 14:00:35
2338050018,200,50,2020/02/07 14:00:35
2338070010,200,50,2020/02/07 14:00:35
2338120015,0,8,2020/02/07 14:00:35
2341140012,200,50,2020/02/07 14:00:35
2341250013,0,12,2020/02/07 14:00:35
2341300018,0,60,2020/02/07 14:00:35
2342080015,200,50,2020/02/07 14:00:35
2342130010,0,42,2020/02/07 14:00:35
2342250017,104,46,2020/02/07 14:00:35
2342260013,192,68,2020/02/07 14:00:35
2342270019,266,80,2020/02/07 14:00:35
2343140010,200,50,2020/02/07 14:00:35
2343240015,18,16,2020/02/07 14:00:35
2343260017,186,68,2020/02/07 14:00:35
2343270013,286,81,2020/02/07 14:00:35
2343280019,2,22,2020/02/07 14:00:35
2343290015,218,64,2020/02/07 14:00:35
2343300016,314,74,2020/02/07 14:00:35
2343320018,184,74,2020/02/07 14:00:35
2343330014,96,40,2020/02/07 14:00:35
2344011036,54,46,2020/02/07 14:00:35
2344030013,12,14,2020/02/07 14:00:35
2344030022,0,24,2020/02/07 14:00:35
2344030031,190,58,2020/02/07 14:00:35
2344050015,40,90,2020/02/07 14:00:35
2344050024,152,80,2020/02/07 14:00:35
2344060011,0,46,2020/02/07 14:00:35
2345100014,0,2,2020/02/07 14:00:35
2345120016,52,58,2020/02/07 14:00:35
2346050013,4,36,2020/02/07 14:00:35
2346070015,0,34,2020/02/07 14:00:35
2346110014,0,24,2020/02/07 14:00:35
2346120010,58,46,2020/02/07 14:00:35
2346130016,2,0,2020/02/07 14:00:35
2346140012,148,58,2020/02/07 14:00:35
2346150018,222,52,2020/02/07 14:00:35
2346160014,288,90,2020/02/07 14:00:35
2390040518,92,32,2020/02/07 14:00:35
2390050032,0,2,2020/02/07 14:00:35
2391020010,200,60,2020/02/07 14:00:35
2391030016,270,88,2020/02/07 14:00:35
2391030026,297,96,2020/02/07 14:00:35
2391040012,174,84,2020/02/07 14:00:35
3701121872,200,50,2020/02/07 14:00:35
3701173778,200,50,2020/02/07 14:00:35
3701183667,200,50,2020/02/07 14:00:35
3834021263,200,50,2020/02/07 14:00:35
5901010058,0,10,2020/02/07 14:00:35
5901010094,60,10,2020/02/07 14:00:35
5901010165,4,0,2020/02/07 14:00:35
5901010174,2,0,2020/02/07 14:00:35
5901010496,10,6,2020/02/07 14:00:35
5901011662,0,48,2020/02/07 14:00:35
5901011699,7,0,2020/02/07 14:00:35
5901011733,16,30,2020/02/07 14:00:35
5901011975,8,0,2020/02/07 14:00:35
5901012383,305,70,2020/02/07 14:00:35
5901012409,198,51,2020/02/07 14:00:35
5901012454,0,6,2020/02/07 14:00:35
5901012490,206,83,2020/02/07 14:00:35
5901012507,0,4,2020/02/07 14:00:35
5901012516,192,44,2020/02/07 14:00:35
5901012570,198,50,2020/02/07 14:00:35
5901012598,138,4,2020/02/07 14:00:35
5901012632,14,36,2020/02/07 14:00:35
5901012650,194,50,2020/02/07 14:00:35
5901012669,180,86,2020/02/07 14:00:35
5901012749,4,4,2020/02/07 14:00:35
5901012758,198,52,2020/02/07 14:00:35
5901012767,0,6,2020/02/07 14:00:35
5901012918,22,6,2020/02/07 14:00:35
5901012963,2,0,2020/02/07 14:00:35
5901013095,6,0,2020/02/07 14:00:35
