醫事機構代碼,成人口罩總剩餘數,兒童口罩剩餘數,來源資料時間
0145080011,230,117,2020/02/08 10:00:36
0291010010,204,58,2020/02/08 10:00:36
2331170017,200,50,2020/02/08 10:00:36
2331200010,10,26,2020/02/08 10:00:36
2331210016,200,50,2020/02/08 10:00:36
2331240014,0,94,2020/02/08 10:00:36
2331260016,84,34,2020/02/08 10:00:36
2331290014,88,40,2020/02/08 10:00:36
2333070010,16,44,2020/02/08 10:00:36
2333080016,200,50,2020/02/08 10:00:36
2333120015,66,74,2020/02/08 10:00:36
2333140017,86,42,2020/02/08 10:00:36
2334090016,200,50,2020/02/08 10:00:36
2334110013,64,56,2020/02/08 10:00:36
2335110017,52,40,2020/02/08 10:00:36
2335150011,0,36,2020/02/08 10:00:36
2335170013,97,64,2020/02/08 10:00:36
2335180019,156,84,2020/02/08 10:00:36
2336210034,170,48,2020/02/08 10:00:36
2337160015,200,50,2020/02/08 10:00:36
2338050018,200,50,2020/02/08 10:00:36
2338120015,64,54,2020/02/08 10:00:36
2340170016,34,32,2020/02/08 10:00:36
2341140012,400,100,2020/02/08 10:00:36
2341250013,51,48,2020/02/08 10:00:36
2341300018,98,108,2020/02/08 10:00:36
2342080015,200,50,2020/02/08 10:00:36
2342130010,118,86,2020/02/08 10:00:36
2342180010,0,34,2020/02/08 10:00:36
2342250017,70,40,2020/02/08 10:00:36
2342260013,328,116,2020/02/08 10:00:36
2342270019,376,114,2020/02/08 10:00:36
2343240015,120,46,2020/02/08 10:00:36
2343260017,362,116,2020/02/08 10:00:36
2343270013,664,181,2020/02/08 10:00:36
2343280019,162,62,2020/02/08 10:00:36
2343290015,566,150,2020/02/08 10:00:36
2343300016,486,114,2020/02/08 10:00:36
2343320018,346,116,2020/02/08 10:00:36
2343330014,212,70,2020/02/08 10:00:36
2344011036,104,82,2020/02/08 10:00:36
2344030013,222,80,2020/02/08 10:00:36
2344030022,0,20,2020/02/08 10:00:36
2344030031,0,20,2020/02/08 10:00:36
2344050015,182,134,2020/02/08 10:00:36
2344050024,464,172,2020/02/08 10:00:36
2344060011,2,86,2020/02/08 10:00:36
2345100014,14,48,2020/02/08 10:00:36
2345110010,90,24,2020/02/08 10:00:36
2345120016,134,100,2020/02/08 10:00:36
2345130012,124,44,2020/02/08 10:00:36
2346050013,82,60,2020/02/08 10:00:36
2346070015,126,62,2020/02/08 10:00:36
2346110014,48,64,2020/02/08 10:00:36
2346120010,165,68,2020/02/08 10:00:36
2346130016,70,38,2020/02/08 10:00:36
2346140012,288,102,2020/02/08 10:00:36
2346150018,356,86,2020/02/08 10:00:36
2346160014,420,134,2020/02/08 10:00:36
2390040518,200,48,2020/02/08 10:00:36
2390050032,0,2,2020/02/08 10:00:36
2391020010,304,98,2020/02/08 10:00:36
2391030016,444,138,2020/02/08 10:00:36
2391030026,461,142,2020/02/08 10:00:36
2391040012,292,128,2020/02/08 10:00:36
5901010058,184,48,2020/02/08 10:00:36
5901010076,0,42,2020/02/08 10:00:36
5901010085,22,38,2020/02/08 10:00:36
5901010094,84,46,2020/02/08 10:00:36
5901010165,114,46,2020/02/08 10:00:36
