醫事機構代碼,成人口罩總剩餘數,兒童口罩剩餘數,來源資料時間
0145080011,176,111,2020/02/08 12:00:36
0291010010,204,52,2020/02/08 12:00:36
2331170017,200,50,2020/02/08 12:00:36
2331200010,2,0,2020/02/08 12:00:36
2331210016,200,50,2020/02/08 12:00:36
2331240014,0,90,2020/02/08 12:00:36
2331260016,0,18,2020/02/08 12:00:36
2331290014,2,18,2020/02/08 12:00:36
2333070010,2,40,2020/02/08 12:00:36
2333080016,200,50,2020/02/08 12:00:36
2333120015,34,74,2020/02/08 12:00:36
2333140017,64,40,2020/02/08 12:00:36
2334090016,200,50,2020/02/08 12:00:36
2334110013,40,58,2020/02/08 12:00:36
2335110017,10,32,2020/02/08 12:00:36
2335150011,0,34,2020/02/08 12:00:36
2335170013,37,56,2020/02/08 12:00:36
2335180019,150,84,2020/02/08 12:00:36
2336210034,92,44,2020/02/08 12:00:36
2337160015,200,50,2020/02/08 12:00:36
2338050018,200,50,2020/02/08 12:00:36
2338120015,6,40,2020/02/08 12:00:36
2340170016,16,12,2020/02/08 12:00:36
2341140012,400,100,2020/02/08 12:00:36
2341250013,11,48,2020/02/08 12:00:36
2341300018,80,106,2020/02/08 12:00:36
2342080015,200,50,2020/02/08 12:00:36
2342130010,78,84,2020/02/08 12:00:36
2342180010,0,22,2020/02/08 12:00:36
2342250017,270,90,2020/02/08 12:00:36
2342260013,314,112,2020/02/08 12:00:36
2342270019,372,108,2020/02/08 12:00:36
2343240015,92,36,2020/02/08 12:00:36
2343260017,362,114,2020/02/08 12:00:36
2343270013,664,181,2020/02/08 12:00:36
2343280019,132,58,2020/02/08 12:00:36
2343290015,560,150,2020/02/08 12:00:36
2343300016,462,114,2020/02/08 12:00:36
2343320018,344,112,2020/02/08 12:00:36
2343330014,186,70,2020/02/08 12:00:36
2344011036,86,80,2020/02/08 12:00:36
2344030013,204,70,2020/02/08 12:00:36
2344030022,40,60,2020/02/08 12:00:36
2344030031,0,20,2020/02/08 12:00:36
2344050015,128,134,2020/02/08 12:00:36
2344050024,456,170,2020/02/08 12:00:36
2344060011,0,82,2020/02/08 12:00:36
2345100014,4,42,2020/02/08 12:00:36
2345110010,0,2,2020/02/08 12:00:36
2345120016,44,90,2020/02/08 12:00:36
2345130012,38,36,2020/02/08 12:00:36
2346050013,66,46,2020/02/08 12:00:36
2346070015,92,60,2020/02/08 12:00:36
2346110014,0,60,2020/02/08 12:00:36
2346120010,139,66,2020/02/08 12:00:36
2346130016,22,28,2020/02/08 12:00:36
2346140012,282,100,2020/02/08 12:00:36
2346150018,340,86,2020/02/08 12:00:36
2346160014,404,128,2020/02/08 12:00:36
2390040518,200,50,2020/02/08 12:00:36
2390050032,198,52,2020/02/08 12:00:36
2391020010,252,90,2020/02/08 12:00:36
2391030016,436,134,2020/02/08 12:00:36
2391030026,457,140,2020/02/08 12:00:36
2391040012,256,128,2020/02/08 12:00:36
5901010058,0,42,2020/02/08 12:00:36
