醫事機構代碼,成人口罩總剩餘數,兒童口罩剩餘數,來源資料時間
0145080011,70,67,2020/02/08 06:00:35
0291010010,204,48,2020/02/08 06:00:35
2331170017,200,50,2020/02/08 06:00:35
2331200010,2,0,2020/02/08 06:00:35
2331210016,200,50,2020/02/08 06:00:35
2331240014,0,64,2020/02/08 06:00:35
2331260016,0,16,2020/02/08 06:00:35
2333070010,2,0,2020/02/08 06:00:35
2333080016,200,50,2020/02/08 06:00:35
2333120015,0,36,2020/02/08 06:00:35
2333140017,104,44,2020/02/08 06:00:35
2334090016,200,50,2020/02/08 06:00:35
2334110013,6,20,2020/02/08 06:00:35
2335110017,10,0,2020/02/08 06:00:35
2335150011,0,2,2020/02/08 06:00:35
2335170013,1,14,2020/02/08 06:00:35
2335180019,0,34,2020/02/08 06:00:35
2337160015,200,50,2020/02/08 06:00:35
2338050018,200,50,2020/02/08 06:00:35
2338120015,0,8,2020/02/08 06:00:35
2341140012,400,100,2020/02/08 06:00:35
2341250013,0,6,2020/02/08 06:00:35
2341300018,0,58,2020/02/08 06:00:35
2342080015,200,50,2020/02/08 06:00:35
2342130010,0,42,2020/02/08 06:00:35
2342250017,70,40,2020/02/08 06:00:35
2342260013,154,66,2020/02/08 06:00:35
2342270019,212,64,2020/02/08 06:00:35
2343240015,18,6,2020/02/08 06:00:35
2343260017,172,66,2020/02/08 06:00:35
2343270013,468,131,2020/02/08 06:00:35
2343280019,2,16,2020/02/08 06:00:35
2343290015,180,54,2020/02/08 06:00:35
2343300016,300,66,2020/02/08 06:00:35
2343320018,158,66,2020/02/08 06:00:35
2343330014,46,20,2020/02/08 06:00:35
2344011036,28,42,2020/02/08 06:00:35
2344030013,4,2,2020/02/08 06:00:35
2344030022,0,20,2020/02/08 06:00:35
2344030031,0,20,2020/02/08 06:00:35
2344050015,2,84,2020/02/08 06:00:35
2344050024,110,80,2020/02/08 06:00:35
2344060011,0,38,2020/02/08 06:00:35
2345100014,0,2,2020/02/08 06:00:35
2345120016,2,54,2020/02/08 06:00:35
2346050013,4,20,2020/02/08 06:00:35
2346070015,0,20,2020/02/08 06:00:35
2346110014,0,22,2020/02/08 06:00:35
2346120010,22,34,2020/02/08 06:00:35
2346140012,116,54,2020/02/08 06:00:35
2346150018,180,36,2020/02/08 06:00:35
2346160014,238,86,2020/02/08 06:00:35
2390050032,0,2,2020/02/08 06:00:35
2391020010,200,56,2020/02/08 06:00:35
2391030016,252,88,2020/02/08 06:00:35
