醫事機構代碼,成人口罩總剩餘數,兒童口罩剩餘數,來源資料時間
0145080011,70,39,2020/02/06 22:00:33
0291010010,200,52,2020/02/06 22:00:33
0421040011,200,50,2020/02/06 22:00:33
0617060018,200,50,2020/02/06 22:00:33
1140030012,0,14,2020/02/06 22:00:33
1141310019,200,50,2020/02/06 22:00:33
1145010010,200,50,2020/02/06 22:00:33
1231050017,200,50,2020/02/06 22:00:33
2303240013,200,50,2020/02/06 22:00:33
2331050010,200,50,2020/02/06 22:00:33
2331170017,200,50,2020/02/06 22:00:33
2331210016,200,50,2020/02/06 22:00:33
2331240014,0,42,2020/02/06 22:00:33
2331260016,0,14,2020/02/06 22:00:33
2331290014,200,60,2020/02/06 22:00:33
2333070010,2,6,2020/02/06 22:00:33
2333120015,0,28,2020/02/06 22:00:33
2333140017,74,24,2020/02/06 22:00:33
2334110013,204,72,2020/02/06 22:00:33
2335110017,8,0,2020/02/06 22:00:33
2335170013,2,18,2020/02/06 22:00:33
2335180019,38,30,2020/02/06 22:00:33
2336210034,200,50,2020/02/06 22:00:33
2338050018,200,50,2020/02/06 22:00:33
2341140012,200,50,2020/02/06 22:00:33
2341250013,2,16,2020/02/06 22:00:33
2341270015,200,50,2020/02/06 22:00:33
2341300018,200,92,2020/02/06 22:00:33
2342130010,200,90,2020/02/06 22:00:33
2342180010,0,4,2020/02/06 22:00:33
2342250017,32,26,2020/02/06 22:00:33
2342260013,84,40,2020/02/06 22:00:33
2342270019,166,50,2020/02/06 22:00:33
2343140010,200,50,2020/02/06 22:00:33
2343240015,8,20,2020/02/06 22:00:33
2343260017,96,38,2020/02/06 22:00:33
2343270013,126,31,2020/02/06 22:00:33
2343280019,0,18,2020/02/06 22:00:33
2343290015,126,36,2020/02/06 22:00:33
2343300016,262,64,2020/02/06 22:00:33
2343320018,60,28,2020/02/06 22:00:33
2343330014,20,24,2020/02/06 22:00:33
2344011036,28,30,2020/02/06 22:00:33
2344030013,0,4,2020/02/06 22:00:33
2344030022,0,20,2020/02/06 22:00:33
2344030031,0,24,2020/02/06 22:00:33
2344050015,20,46,2020/02/06 22:00:33
