醫事機構代碼,成人口罩總剩餘數,兒童口罩剩餘數,來源資料時間
0145080011,166,111,2020/02/08 16:00:36
0291010010,204,52,2020/02/08 16:00:36
2331170017,200,50,2020/02/08 16:00:36
2331200010,2,0,2020/02/08 16:00:36
2331210016,200,50,2020/02/08 16:00:36
2331240014,0,90,2020/02/08 16:00:36
2331260016,0,10,2020/02/08 16:00:36
2333070010,2,40,2020/02/08 16:00:36
2333080016,200,50,2020/02/08 16:00:36
2333120015,34,74,2020/02/08 16:00:36
2333140017,44,36,2020/02/08 16:00:36
2334110013,40,58,2020/02/08 16:00:36
2335110017,10,32,2020/02/08 16:00:36
2335150011,0,34,2020/02/08 16:00:36
2335170013,1,48,2020/02/08 16:00:36
2335180019,150,84,2020/02/08 16:00:36
2336210034,92,44,2020/02/08 16:00:36
2337160015,200,50,2020/02/08 16:00:36
2338050018,200,50,2020/02/08 16:00:36
2338070010,0,22,2020/02/08 16:00:36
2338120015,6,40,2020/02/08 16:00:36
2340170016,16,12,2020/02/08 16:00:36
2341140012,400,100,2020/02/08 16:00:36
2341250013,11,48,2020/02/08 16:00:36
2341300018,80,106,2020/02/08 16:00:36
2342080015,200,50,2020/02/08 16:00:36
2342130010,62,82,2020/02/08 16:00:36
2342180010,0,22,2020/02/08 16:00:36
2342250017,264,90,2020/02/08 16:00:36
2342260013,306,106,2020/02/08 16:00:36
2342270019,362,106,2020/02/08 16:00:36
2343240015,92,36,2020/02/08 16:00:36
2343260017,356,114,2020/02/08 16:00:36
2343270013,662,177,2020/02/08 16:00:36
2343280019,74,52,2020/02/08 16:00:36
2343290015,560,150,2020/02/08 16:00:36
2343300016,460,114,2020/02/08 16:00:36
2343320018,322,106,2020/02/08 16:00:36
2343330014,178,70,2020/02/08 16:00:36
2344011036,72,78,2020/02/08 16:00:36
2344030013,204,56,2020/02/08 16:00:36
2344030022,28,60,2020/02/08 16:00:36
2344030031,160,70,2020/02/08 16:00:36
2344050015,68,130,2020/02/08 16:00:36
2344050024,444,168,2020/02/08 16:00:36
2344060011,0,82,2020/02/08 16:00:36
2345100014,4,42,2020/02/08 16:00:36
2345120016,30,86,2020/02/08 16:00:36
2345130012,6,32,2020/02/08 16:00:36
2346050013,60,46,2020/02/08 16:00:36
2346070015,64,58,2020/02/08 16:00:36
2346110014,0,60,2020/02/08 16:00:36
2346120010,139,66,2020/02/08 16:00:36
2346130016,0,24,2020/02/08 16:00:36
2346140012,282,100,2020/02/08 16:00:36
2346150018,324,78,2020/02/08 16:00:36
2346160014,400,128,2020/02/08 16:00:36
2390040518,0,4,2020/02/08 16:00:36
2390050032,0,20,2020/02/08 16:00:36
2391020010,206,84,2020/02/08 16:00:36
2391030016,436,134,2020/02/08 16:00:36
2391030026,455,140,2020/02/08 16:00:36
2391040012,254,128,2020/02/08 16:00:36
5901010058,0,22,2020/02/08 16:00:36
5901010076,0,20,2020/02/08 16:00:36
5901010085,0,22,2020/02/08 16:00:36
5901010094,12,10,2020/02/08 16:00:36
5901010165,0,24,2020/02/08 16:00:36
5901010174,0,28,2020/02/08 16:00:36
5901010192,0,24,2020/02/08 16:00:36
5901010290,0,16,2020/02/08 16:00:36
5901010496,10,20,2020/02/08 16:00:36
5901011662,0,66,2020/02/08 16:00:36
5901011699,0,8,2020/02/08 16:00:36
5901011733,14,30,2020/02/08 16:00:36
5901011751,0,36,2020/02/08 16:00:36
5901011760,0,58,2020/02/08 16:00:36
5901011975,4,18,2020/02/08 16:00:36
5901012203,0,38,2020/02/08 16:00:36
5901012383,204,54,2020/02/08 16:00:36
5901012454,2,24,2020/02/08 16:00:36
5901012490,2,0,2020/02/08 16:00:36
5901012507,0,6,2020/02/08 16:00:36
5901012516,66,38,2020/02/08 16:00:36
5901012561,0,6,2020/02/08 16:00:36
5901012570,0,48,2020/02/08 16:00:36
5901012598,0,18,2020/02/08 16:00:36
5901012632,0,28,2020/02/08 16:00:36
5901012650,0,44,2020/02/08 16:00:36
5901012669,2,60,2020/02/08 16:00:36
5901012712,0,24,2020/02/08 16:00:36
5901012749,114,50,2020/02/08 16:00:36
5901012767,0,30,2020/02/08 16:00:36
5901012918,0,26,2020/02/08 16:00:36
5901013004,0,32,2020/02/08 16:00:36
5901013095,8,8,2020/02/08 16:00:36
5901013120,2,25,2020/02/08 16:00:36
5901013139,0,30,2020/02/08 16:00:36
5901013148,0,34,2020/02/08 16:00:36
5901013157,0,16,2020/02/08 16:00:36
5901013175,0,10,2020/02/08 16:00:36
5901013200,2,40,2020/02/08 16:00:36
5901013246,0,34,2020/02/08 16:00:36
5901013264,18,50,2020/02/08 16:00:36
5901013308,28,36,2020/02/08 16:00:36
5901013326,0,17,2020/02/08 16:00:36
5901013344,0,38,2020/02/08 16:00:36
5901013362,2,46,2020/02/08 16:00:36
5901013371,0,40,2020/02/08 16:00:36
5901013380,0,8,2020/02/08 16:00:36
5901013399,104,24,2020/02/08 16:00:36
5901013406,0,24,2020/02/08 16:00:36
5901013433,0,14,2020/02/08 16:00:36
5901013442,0,30,2020/02/08 16:00:36
5901013451,0,34,2020/02/08 16:00:36
5901013460,0,12,2020/02/08 16:00:36
5901013488,76,58,2020/02/08 16:00:36
5901013497,14,36,2020/02/08 16:00:36
5901013504,0,36,2020/02/08 16:00:36
5901013513,54,38,2020/02/08 16:00:36
5901013522,200,50,2020/02/08 16:00:36
5901020296,2,58,2020/02/08 16:00:36
5901020303,0,22,2020/02/08 16:00:36
5901020376,8,34,2020/02/08 16:00:36
5901020465,0,4,2020/02/08 16:00:36
5901020554,44,28,2020/02/08 16:00:36
5901020563,0,6,2020/02/08 16:00:36
5901020590,0,34,2020/02/08 16:00:36
5901020616,0,40,2020/02/08 16:00:36
5901020634,0,40,2020/02/08 16:00:36
5901020652,0,20,2020/02/08 16:00:36
5901020661,0,22,2020/02/08 16:00:36
5901020670,17,49,2020/02/08 16:00:36
5901020689,66,44,2020/02/08 16:00:36
5901020698,10,28,2020/02/08 16:00:36
5901020732,0,32,2020/02/08 16:00:36
5901020787,14,36,2020/02/08 16:00:36
5901020858,0,10,2020/02/08 16:00:36
5901020876,0,16,2020/02/08 16:00:36
5901020901,0,54,2020/02/08 16:00:36
5901021248,0,20,2020/02/08 16:00:36
5901021346,0,26,2020/02/08 16:00:36
5901021382,6,0,2020/02/08 16:00:36
5901021408,2,24,2020/02/08 16:00:36
5901022521,10,38,2020/02/08 16:00:36
5901022601,5,22,2020/02/08 16:00:36
5901022898,0,36,2020/02/08 16:00:36
5901023073,4,42,2020/02/08 16:00:36
5901023091,142,98,2020/02/08 16:00:36
5901023153,0,72,2020/02/08 16:00:36
5901023215,6,46,2020/02/08 16:00:36
5901023304,8,6,2020/02/08 16:00:36
5901023313,13,48,2020/02/08 16:00:36
5901023331,100,68,2020/02/08 16:00:36
5901023386,24,46,2020/02/08 16:00:36
5901023591,0,42,2020/02/08 16:00:36
5901023653,6,28,2020/02/08 16:00:36
5901023680,40,52,2020/02/08 16:00:36
5901023706,4,48,2020/02/08 16:00:36
5901023724,10,24,2020/02/08 16:00:36
5901023831,0,14,2020/02/08 16:00:36
5901023886,78,12,2020/02/08 16:00:36
5901023902,0,16,2020/02/08 16:00:36
5901023966,0,34,2020/02/08 16:00:36
5901024007,2,22,2020/02/08 16:00:36
5901024098,38,40,2020/02/08 16:00:36
5901024123,4,16,2020/02/08 16:00:36
5901024178,0,12,2020/02/08 16:00:36
5901024212,0,56,2020/02/08 16:00:36
5901024221,0,26,2020/02/08 16:00:36
5901024310,0,8,2020/02/08 16:00:36
5901024347,0,12,2020/02/08 16:00:36
5901024427,0,16,2020/02/08 16:00:36
5901024472,0,34,2020/02/08 16:00:36
5901024481,2,0,2020/02/08 16:00:36
5901024525,0,48,2020/02/08 16:00:36
5901024543,0,22,2020/02/08 16:00:36
5901024632,12,26,2020/02/08 16:00:36
5901024669,0,46,2020/02/08 16:00:36
5901024678,2,18,2020/02/08 16:00:36
5901024687,0,4,2020/02/08 16:00:36
5901024696,0,10,2020/02/08 16:00:36
5901024703,0,30,2020/02/08 16:00:36
5901024712,0,6,2020/02/08 16:00:36
5901024767,8,30,2020/02/08 16:00:36
5901024829,0,20,2020/02/08 16:00:36
5901024838,0,34,2020/02/08 16:00:36
5901024856,0,32,2020/02/08 16:00:36
5901024865,142,54,2020/02/08 16:00:36
5901024874,16,10,2020/02/08 16:00:36
5901024883,4,8,2020/02/08 16:00:36
5901024892,0,32,2020/02/08 16:00:36
5901024909,0,18,2020/02/08 16:00:36
5901024918,0,12,2020/02/08 16:00:36
5901024927,200,50,2020/02/08 16:00:36
5901090074,0,22,2020/02/08 16:00:36
5901090127,0,16,2020/02/08 16:00:36
5901090154,0,2,2020/02/08 16:00:36
5901090181,0,6,2020/02/08 16:00:36
5901090216,58,54,2020/02/08 16:00:36
5901090243,2,6,2020/02/08 16:00:36
5901090289,0,16,2020/02/08 16:00:36
5901090323,0,4,2020/02/08 16:00:36
5901090369,0,28,2020/02/08 16:00:36
5901091473,34,22,2020/02/08 16:00:36
5901091544,0,36,2020/02/08 16:00:36
5901091624,20,38,2020/02/08 16:00:36
5901091688,0,36,2020/02/08 16:00:36
5901091759,6,0,2020/02/08 16:00:36
5901091839,0,22,2020/02/08 16:00:36
5901091857,2,14,2020/02/08 16:00:36
5901091884,178,50,2020/02/08 16:00:36
5901091973,0,38,2020/02/08 16:00:36
5901092014,8,30,2020/02/08 16:00:36
5901092041,42,46,2020/02/08 16:00:36
5901092069,40,26,2020/02/08 16:00:36
5901092078,200,50,2020/02/08 16:00:36
5901100066,2,40,2020/02/08 16:00:36
5901100155,0,48,2020/02/08 16:00:36
5901100333,2,6,2020/02/08 16:00:36
5901100342,0,38,2020/02/08 16:00:36
5901100422,6,16,2020/02/08 16:00:36
5901100431,4,26,2020/02/08 16:00:36
5901100440,6,22,2020/02/08 16:00:36
5901100495,4,2,2020/02/08 16:00:36
5901100628,0,32,2020/02/08 16:00:36
5901100664,44,56,2020/02/08 16:00:36
5901100717,100,34,2020/02/08 16:00:36
5901100735,64,8,2020/02/08 16:00:36
5901100771,0,18,2020/02/08 16:00:36
5901100799,0,26,2020/02/08 16:00:36
5901100959,5,11,2020/02/08 16:00:36
5901101072,26,38,2020/02/08 16:00:36
5901101161,0,8,2020/02/08 16:00:36
5901101205,0,2,2020/02/08 16:00:36
5901101250,0,34,2020/02/08 16:00:36
5901101321,4,46,2020/02/08 16:00:36
5901101509,0,24,2020/02/08 16:00:36
5901101607,0,28,2020/02/08 16:00:36
5901101625,0,20,2020/02/08 16:00:36
5901101652,0,42,2020/02/08 16:00:36
5901101910,0,30,2020/02/08 16:00:36
5901101929,6,8,2020/02/08 16:00:36
5901101992,0,42,2020/02/08 16:00:36
5901102015,8,34,2020/02/08 16:00:36
5901102417,2,38,2020/02/08 16:00:36
