醫事機構代碼,成人口罩總剩餘數,兒童口罩剩餘數,來源資料時間
0145080011,186,85,2020/02/07 10:00:35
0291010010,200,52,2020/02/07 10:00:35
0421040011,200,50,2020/02/07 10:00:35
0617060018,200,50,2020/02/07 10:00:35
1140030012,2,0,2020/02/07 10:00:35
1141310019,200,50,2020/02/07 10:00:35
1145010010,200,50,2020/02/07 10:00:35
1231050017,200,50,2020/02/07 10:00:35
2303240013,200,50,2020/02/07 10:00:35
2331050010,200,50,2020/02/07 10:00:35
2331170017,200,50,2020/02/07 10:00:35
2331200010,6,22,2020/02/07 10:00:35
2331210016,200,50,2020/02/07 10:00:35
2331240014,0,76,2020/02/07 10:00:35
2331260016,92,54,2020/02/07 10:00:35
2331290014,262,72,2020/02/07 10:00:35
2333070010,60,26,2020/02/07 10:00:35
2333080016,200,50,2020/02/07 10:00:35
2333120015,36,56,2020/02/07 10:00:35
2333140017,192,58,2020/02/07 10:00:35
2334110013,216,80,2020/02/07 10:00:35
2335110017,16,10,2020/02/07 10:00:35
2335150011,0,2,2020/02/07 10:00:35
2335170013,3,26,2020/02/07 10:00:35
2335180019,140,62,2020/02/07 10:00:35
2336020012,200,50,2020/02/07 10:00:35
2336210034,200,50,2020/02/07 10:00:35
2338050018,200,50,2020/02/07 10:00:35
2338120015,42,28,2020/02/07 10:00:35
2341140012,200,50,2020/02/07 10:00:35
2341250013,3,28,2020/02/07 10:00:35
2341270015,200,50,2020/02/07 10:00:35
2341300018,0,76,2020/02/07 10:00:35
2342130010,14,60,2020/02/07 10:00:35
2342180010,6,14,2020/02/07 10:00:35
2342250017,180,60,2020/02/07 10:00:35
2342260013,244,80,2020/02/07 10:00:35
2342270019,322,90,2020/02/07 10:00:35
2343140010,200,50,2020/02/07 10:00:35
2343240015,18,30,2020/02/07 10:00:35
2343260017,254,76,2020/02/07 10:00:35
2343270013,304,81,2020/02/07 10:00:35
2343280019,94,46,2020/02/07 10:00:35
2343290015,298,80,2020/02/07 10:00:35
2343300016,386,96,2020/02/07 10:00:35
2343320018,220,76,2020/02/07 10:00:35
2343330014,158,58,2020/02/07 10:00:35
2344011036,90,56,2020/02/07 10:00:35
2344030013,18,24,2020/02/07 10:00:35
2344030022,0,20,2020/02/07 10:00:35
2344030031,190,74,2020/02/07 10:00:35
2344050015,124,96,2020/02/07 10:00:35
2344050024,190,84,2020/02/07 10:00:35
2344060011,0,56,2020/02/07 10:00:35
2345100014,0,18,2020/02/07 10:00:35
2345110010,24,8,2020/02/07 10:00:35
2345120016,66,62,2020/02/07 10:00:35
2345130012,104,34,2020/02/07 10:00:35
2346050013,44,44,2020/02/07 10:00:35
2346070015,0,40,2020/02/07 10:00:35
2346110014,0,46,2020/02/07 10:00:35
2346120010,168,60,2020/02/07 10:00:35
2346130016,2,0,2020/02/07 10:00:35
2346140012,206,68,2020/02/07 10:00:35
2346150018,270,66,2020/02/07 10:00:35
2346160014,320,90,2020/02/07 10:00:35
2390040518,198,52,2020/02/07 10:00:35
2390050032,198,54,2020/02/07 10:00:35
2391020010,198,58,2020/02/07 10:00:35
2391030016,298,90,2020/02/07 10:00:35
2391030026,335,98,2020/02/07 10:00:35
2391040012,292,88,2020/02/07 10:00:35
3501200000,496,125,2020/02/07 10:00:35
3512013636,200,50,2020/02/07 10:00:35
3701121872,200,50,2020/02/07 10:00:35
3701173778,200,50,2020/02/07 10:00:35
3701183667,200,50,2020/02/07 10:00:35
3834021263,200,50,2020/02/07 10:00:35
5901010058,200,66,2020/02/07 10:00:35
5901010076,102,12,2020/02/07 10:00:35
5901010085,28,32,2020/02/07 10:00:35
5901010094,392,104,2020/02/07 10:00:35
5901010165,128,52,2020/02/07 10:00:35
5901010174,198,46,2020/02/07 10:00:35
5901010192,12,10,2020/02/07 10:00:35
5901010272,4,6,2020/02/07 10:00:35
5901010290,0,2,2020/02/07 10:00:35
5901010496,100,30,2020/02/07 10:00:35
5901010576,0,10,2020/02/07 10:00:35
5901011662,0,50,2020/02/07 10:00:35
5901011699,167,45,2020/02/07 10:00:35
5901011733,126,54,2020/02/07 10:00:35
5901011751,180,50,2020/02/07 10:00:35
5901011975,110,22,2020/02/07 10:00:35
5901012383,305,70,2020/02/07 10:00:35
5901012409,398,101,2020/02/07 10:00:35
5901012454,0,6,2020/02/07 10:00:35
5901012490,2,0,2020/02/07 10:00:35
5901012507,8,14,2020/02/07 10:00:35
5901012561,40,42,2020/02/07 10:00:35
5901012632,198,52,2020/02/07 10:00:35
5901012650,194,50,2020/02/07 10:00:35
5901012669,2,36,2020/02/07 10:00:35
5901012712,352,96,2020/02/07 10:00:35
5901012749,4,4,2020/02/07 10:00:35
5901012758,0,2,2020/02/07 10:00:35
5901012767,0,6,2020/02/07 10:00:35
5901012918,0,4,2020/02/07 10:00:35
5901012963,2,0,2020/02/07 10:00:35
5901013004,0,14,2020/02/07 10:00:35
5901013095,198,48,2020/02/07 10:00:35
5901013120,61,41,2020/02/07 10:00:35
5901013148,0,12,2020/02/07 10:00:35
5901013175,24,30,2020/02/07 10:00:35
5901013264,30,14,2020/02/07 10:00:35
5901013308,0,4,2020/02/07 10:00:35
5901013344,0,2,2020/02/07 10:00:35
5901013399,126,34,2020/02/07 10:00:35
5901013406,178,42,2020/02/07 10:00:35
5901013433,0,14,2020/02/07 10:00:35
5901013442,0,10,2020/02/07 10:00:35
5901013451,0,4,2020/02/07 10:00:35
5901013460,88,16,2020/02/07 10:00:35
5901013488,186,68,2020/02/07 10:00:35
5901013497,104,20,2020/02/07 10:00:35
5901013504,10,28,2020/02/07 10:00:35
5901013513,4,12,2020/02/07 10:00:35
5901013522,0,8,2020/02/07 10:00:35
5901020376,200,70,2020/02/07 10:00:35
5901020554,198,52,2020/02/07 10:00:35
5901020563,16,32,2020/02/07 10:00:35
5901020590,154,24,2020/02/07 10:00:35
5901020616,0,12,2020/02/07 10:00:35
5901020634,0,12,2020/02/07 10:00:35
5901020652,192,50,2020/02/07 10:00:35
5901020661,48,26,2020/02/07 10:00:35
5901020670,0,15,2020/02/07 10:00:35
5901020698,20,24,2020/02/07 10:00:35
5901020732,200,50,2020/02/07 10:00:35
5901020787,6,8,2020/02/07 10:00:35
5901020858,106,58,2020/02/07 10:00:35
5901020876,2,0,2020/02/07 10:00:35
5901020901,128,70,2020/02/07 10:00:35
5901021248,200,78,2020/02/07 10:00:35
5901021346,194,48,2020/02/07 10:00:35
5901021382,6,16,2020/02/07 10:00:35
5901021408,0,18,2020/02/07 10:00:35
5901022521,66,16,2020/02/07 10:00:35
5901022601,0,2,2020/02/07 10:00:35
5901022763,200,50,2020/02/07 10:00:35
5901022898,200,68,2020/02/07 10:00:35
5901023073,162,52,2020/02/07 10:00:35
5901023091,284,84,2020/02/07 10:00:35
5901023153,0,32,2020/02/07 10:00:35
5901023215,2,4,2020/02/07 10:00:35
5901023304,212,68,2020/02/07 10:00:35
5901023313,0,8,2020/02/07 10:00:35
5901023331,0,16,2020/02/07 10:00:35
5901023386,0,2,2020/02/07 10:00:35
5901023523,134,36,2020/02/07 10:00:35
5901023591,140,42,2020/02/07 10:00:35
5901023653,0,8,2020/02/07 10:00:35
5901023680,196,60,2020/02/07 10:00:35
5901023706,196,64,2020/02/07 10:00:35
5901023724,198,52,2020/02/07 10:00:35
5901023831,52,40,2020/02/07 10:00:35
5901023886,2,16,2020/02/07 10:00:35
5901023902,14,40,2020/02/07 10:00:35
5901023966,176,50,2020/02/07 10:00:35
5901024098,0,14,2020/02/07 10:00:35
5901024114,36,18,2020/02/07 10:00:35
5901024123,394,88,2020/02/07 10:00:35
5901024212,0,6,2020/02/07 10:00:35
5901024221,124,50,2020/02/07 10:00:35
5901024310,178,74,2020/02/07 10:00:35
5901024347,152,46,2020/02/07 10:00:35
5901024427,164,24,2020/02/07 10:00:35
5901024481,196,52,2020/02/07 10:00:35
5901024490,26,18,2020/02/07 10:00:35
5901024516,200,50,2020/02/07 10:00:35
5901024525,200,56,2020/02/07 10:00:35
5901024543,187,42,2020/02/07 10:00:35
5901024632,88,64,2020/02/07 10:00:35
5901024669,192,58,2020/02/07 10:00:35
5901024687,164,40,2020/02/07 10:00:35
5901024696,12,10,2020/02/07 10:00:35
5901024703,0,2,2020/02/07 10:00:35
5901024712,176,44,2020/02/07 10:00:35
5901024721,68,34,2020/02/07 10:00:35
5901024767,10,36,2020/02/07 10:00:35
5901024829,32,8,2020/02/07 10:00:35
5901024856,200,52,2020/02/07 10:00:35
5901024865,0,18,2020/02/07 10:00:35
5901024874,124,24,2020/02/07 10:00:35
5901024883,8,14,2020/02/07 10:00:35
5901024909,200,50,2020/02/07 10:00:35
5901024918,92,52,2020/02/07 10:00:35
5901024927,200,50,2020/02/07 10:00:35
5901090074,48,30,2020/02/07 10:00:35
5901090127,70,12,2020/02/07 10:00:35
5901090154,176,50,2020/02/07 10:00:35
5901090181,26,38,2020/02/07 10:00:35
5901090216,198,72,2020/02/07 10:00:35
5901090243,200,54,2020/02/07 10:00:35
5901090289,76,34,2020/02/07 10:00:35
5901090323,10,18,2020/02/07 10:00:35
5901090369,52,40,2020/02/07 10:00:35
5901091473,184,50,2020/02/07 10:00:35
5901091544,198,50,2020/02/07 10:00:35
5901091820,4,12,2020/02/07 10:00:35
5901091839,10,30,2020/02/07 10:00:35
5901091857,0,2,2020/02/07 10:00:35
5901091884,0,2,2020/02/07 10:00:35
5901091973,0,2,2020/02/07 10:00:35
5901091991,208,50,2020/02/07 10:00:35
5901092041,200,50,2020/02/07 10:00:35
5901092050,10,56,2020/02/07 10:00:35
5901092069,4,2,2020/02/07 10:00:35
5901100057,18,6,2020/02/07 10:00:35
5901100066,0,4,2020/02/07 10:00:35
5901100155,0,22,2020/02/07 10:00:35
5901100333,198,56,2020/02/07 10:00:35
5901100422,4,8,2020/02/07 10:00:35
5901100431,200,52,2020/02/07 10:00:35
5901100440,198,58,2020/02/07 10:00:35
5901100495,204,52,2020/02/07 10:00:35
5901100628,16,26,2020/02/07 10:00:35
5901100664,180,94,2020/02/07 10:00:35
5901100717,8,4,2020/02/07 10:00:35
5901100735,200,50,2020/02/07 10:00:35
5901100771,178,48,2020/02/07 10:00:35
5901100959,272,82,2020/02/07 10:00:35
5901101072,0,4,2020/02/07 10:00:35
5901101161,20,6,2020/02/07 10:00:35
5901101205,122,28,2020/02/07 10:00:35
5901101250,0,32,2020/02/07 10:00:35
5901101509,68,24,2020/02/07 10:00:35
5901101536,200,44,2020/02/07 10:00:35
5901101607,0,10,2020/02/07 10:00:35
5901101625,38,12,2020/02/07 10:00:35
5901101652,90,66,2020/02/07 10:00:35
5901101910,0,18,2020/02/07 10:00:35
5901101929,180,46,2020/02/07 10:00:35
5901101992,0,8,2020/02/07 10:00:35
5901102015,2,2,2020/02/07 10:00:35
5901102060,0,2,2020/02/07 10:00:35
5901102417,202,52,2020/02/07 10:00:35
5901102515,198,44,2020/02/07 10:00:35
5901102560,200,50,2020/02/07 10:00:35
5901102579,186,54,2020/02/07 10:00:35
5901102597,0,6,2020/02/07 10:00:35
5901102631,0,32,2020/02/07 10:00:35
5901102677,0,8,2020/02/07 10:00:35
5901102748,172,50,2020/02/07 10:00:35
5901102837,200,50,2020/02/07 10:00:35
5901102962,0,10,2020/02/07 10:00:35
5901102971,198,50,2020/02/07 10:00:35
5901103030,0,10,2020/02/07 10:00:35
5901103110,108,24,2020/02/07 10:00:35
5901103147,4,38,2020/02/07 10:00:35
5901103183,196,20,2020/02/07 10:00:35
5901103236,174,46,2020/02/07 10:00:35
