檳城國際機場 (PEN / WMKP)
香港國際機場 (HKG / VHHH)
格域機場 (LGW / EGKK)
北京首都国际机场 (PEK / ZBAA)
香港國際機場 (HKG / VHHH)
香港國際機場 (HKG / VHHH)
Tan Son Nhat Int'l (SGN / VVTS)
成田国际机场 (NRT / RJAA)
素万那普机场 (BKK / VTBS)
成田国际机场 (NRT / RJAA)
关西国际机场 (KIX / RJBB)
Tan Son Nhat Int'l (SGN / VVTS)
內排國際機場 (HAN / VVNB)
上海浦东国际机场 (PVG / ZSPD)
澳門國際機場 (MFM / VMMC)
素万那普机场 (BKK / VTBS)
成田国际机场 (NRT / RJAA)
马尼拉尼诺伊·阿基诺国际机场 (MNL / RPLL)
上海浦东国际机场 (PVG / ZSPD)
关西国际机场 (KIX / RJBB)
伍拉·賴國際機場 (DPS / WADD)
蘇加諾－哈達國際機場 (CGK / WIII)
仁川國際機場 (ICN / RKSI)
新加坡樟宜机场 (SIN / WSSS)
马尼拉尼诺伊·阿基诺国际机场 (MNL / RPLL)
那霸機場 (OKA / ROAH)
Tan Son Nhat Int'l (SGN / VVTS)
成田国际机场 (NRT / RJAA)
洛杉磯國際機場 (KLAX)
香港國際機場 (HKG / VHHH)
Tan Son Nhat Int'l (SGN / VVTS)
香港國際機場 (HKG / VHHH)
香港國際機場 (HKG / VHHH)
马尼拉尼诺伊·阿基诺国际机场 (MNL / RPLL)
吉隆坡国际机场 (KUL / WMKK)
香港國際機場 (HKG / VHHH)
素万那普机场 (BKK / VTBS)
关西国际机场 (KIX / RJBB)
吉隆坡国际机场 (KUL / WMKK)
檀香山國際機場 (PHNL)
檳城國際機場 (PEN / WMKP)
香港國際機場 (HKG / VHHH)
格域機場 (LGW / EGKK)
北京首都国际机场 (PEK / ZBAA)
香港國際機場 (HKG / VHHH)
香港國際機場 (HKG / VHHH)
Tan Son Nhat Int'l (SGN / VVTS)
成田国际机场 (NRT / RJAA)
素万那普机场 (BKK / VTBS)
成田国际机场 (NRT / RJAA)
关西国际机场 (KIX / RJBB)
Tan Son Nhat Int'l (SGN / VVTS)
內排國際機場 (HAN / VVNB)
上海浦东国际机场 (PVG / ZSPD)
澳門國際機場 (MFM / VMMC)
素万那普机场 (BKK / VTBS)
成田国际机场 (NRT / RJAA)
马尼拉尼诺伊·阿基诺国际机场 (MNL / RPLL)
上海浦东国际机场 (PVG / ZSPD)
关西国际机场 (KIX / RJBB)
Tan Son Nhat Int'l (SGN / VVTS)
中部國際機場 (NGO / RJGG)
內排國際機場 (HAN / VVNB)
贾特拉帕蒂·希瓦吉国际机场 (BOM / VABB)
峴港國際機場 (DAD / VVDN)
关西国际机场 (KIX / RJBB)
成田国际机场 (NRT / RJAA)
上海浦东国际机场 (PVG / ZSPD)
香港國際機場 (HKG / VHHH)
成田国际机场 (NRT / RJAA)
关西国际机场 (KIX / RJBB)
仁川國際機場 (ICN / RKSI)
马尼拉尼诺伊·阿基诺国际机场 (MNL / RPLL)
峴港國際機場 (DAD / VVDN)
Kaohsiung Int'l (KHH / RCKH)
上海浦东国际机场 (PVG / ZSPD)
